p,q,midpoint,mid_mod37,mid_dr,chi_p,chi_q,chi_mid
15737,15739,15738,13,6,-1,1,0
15887,15889,15888,15,3,-1,1,0
15971,15973,15972,25,6,-1,1,0
16061,16063,16062,4,6,-1,1,0
16067,16069,16068,10,3,-1,1,0
16139,16141,16140,8,3,-1,1,0
16187,16189,16188,19,6,-1,1,0
16229,16231,16230,24,3,-1,1,0
16361,16363,16362,8,9,-1,1,0
16451,16453,16452,24,9,-1,1,0
16631,16633,16632,19,9,-1,1,0
16649,16651,16650,0,9,-1,1,0
16691,16693,16692,5,6,-1,1,0
16829,16831,16830,32,9,-1,1,0
16901,16903,16902,30,9,-1,1,0
16979,16981,16980,34,6,-1,1,0
17027,17029,17028,8,9,-1,1,0
17189,17191,17190,22,9,-1,1,0
17207,17209,17208,3,9,-1,1,0
17291,17293,17292,13,3,-1,1,0
17387,17389,17388,35,9,-1,1,0
17417,17419,17418,28,3,-1,1,0
17489,17491,17490,26,3,-1,1,0
17579,17581,17580,5,3,-1,1,0
17597,17599,17598,23,3,-1,1,0
17657,17659,17658,9,9,-1,1,0
17681,17683,17682,33,6,-1,1,0
17747,17749,17748,25,9,-1,1,0
17789,17791,17790,30,6,-1,1,0
17837,17839,17838,4,9,-1,1,0
17909,17911,17910,2,9,-1,1,0
17921,17923,17922,14,3,-1,1,0
17957,17959,17958,13,3,-1,1,0
17987,17989,17988,6,6,-1,1,0
18041,18043,18042,23,6,-1,1,0
18047,18049,18048,29,3,-1,1,0
18059,18061,18060,4,6,-1,1,0
18119,18121,18120,27,3,-1,1,0
18131,18133,18132,2,6,-1,1,0
18251,18253,18252,11,9,-1,1,0
18287,18289,18288,10,9,-1,1,0
18311,18313,18312,34,6,-1,1,0
18521,18523,18522,22,9,-1,1,0
18539,18541,18540,3,9,-1,1,0
18911,18913,18912,5,3,-1,1,0
18917,18919,18918,11,9,-1,1,0
19079,19081,19080,25,9,-1,1,0
19139,19141,19140,11,6,-1,1,0
19181,19183,19182,16,3,-1,1,0
19211,19213,19212,9,6,-1,1,0
19379,19381,19380,29,3,-1,1,0
19421,19423,19422,34,9,-1,1,0
19427,19429,19428,3,6,-1,1,0
19469,19471,19470,8,3,-1,1,0
19541,19543,19542,6,3,-1,1,0
19697,19699,19698,14,6,-1,1,0
19751,19753,19752,31,6,-1,1,0
19841,19843,19842,10,6,-1,1,0
19889,19891,19890,21,9,-1,1,0
19961,19963,19962,19,9,-1,1,0
19991,19993,19992,12,3,-1,1,0
20021,20023,20022,5,6,-1,1,0
20147,20149,20148,20,6,-1,1,0
20231,20233,20232,30,9,-1,1,0
20357,20359,20358,8,9,-1,1,0
20441,20443,20442,18,3,-1,1,0
20477,20479,20478,17,3,-1,1,0
20507,20509,20508,10,6,-1,1,0
20549,20551,20550,15,3,-1,1,0
20639,20641,20640,31,3,-1,1,0
20717,20719,20718,35,9,-1,1,0
20747,20749,20748,28,3,-1,1,0
20771,20773,20772,15,9,-1,1,0
20807,20809,20808,14,9,-1,1,0
20897,20899,20898,30,9,-1,1,0
20981,20983,20982,3,3,-1,1,0
21011,21013,21012,33,6,-1,1,0
21017,21019,21018,2,3,-1,1,0
21059,21061,21060,7,9,-1,1,0
21191,21193,21192,28,6,-1,1,0
21317,21319,21318,6,6,-1,1,0
21377,21379,21378,29,3,-1,1,0
21491,21493,21492,32,9,-1,1,0
21521,21523,21522,25,3,-1,1,0
21557,21559,21558,24,3,-1,1,0
21587,21589,21588,17,6,-1,1,0
21599,21601,21600,29,9,-1,1,0
21611,21613,21612,4,3,-1,1,0
21647,21649,21648,3,3,-1,1,0
21737,21739,21738,19,3,-1,1,0
21839,21841,21840,10,6,-1,1,0
22037,22039,22038,23,6,-1,1,0
22091,22093,22092,3,6,-1,1,0
22109,22111,22110,21,6,-1,1,0
22157,22159,22158,32,9,-1,1,0
22271,22273,22272,35,6,-1,1,0
22277,22279,22278,4,3,-1,1,0
22367,22369,22368,20,3,-1,1,0
22481,22483,22482,23,9,-1,1,0
22541,22543,22542,9,6,-1,1,0
22571,22573,22572,2,9,-1,1,0
22619,22621,22620,13,3,-1,1,0
22637,22639,22638,31,3,-1,1,0
22697,22699,22698,17,9,-1,1,0
22739,22741,22740,22,6,-1,1,0
22859,22861,22860,31,9,-1,1,0
22961,22963,22962,22,3,-1,1,0
23027,23029,23028,14,6,-1,1,0
23039,23041,23040,26,9,-1,1,0
23057,23059,23058,7,9,-1,1,0
23201,23203,23202,3,9,-1,1,0
23291,23293,23292,19,9,-1,1,0
23369,23371,23370,23,6,-1,1,0
23537,23539,23538,6,3,-1,1,0
23561,23563,23562,30,9,-1,1,0
23627,23629,23628,22,3,-1,1,0
23669,23671,23670,27,9,-1,1,0
23687,23689,23688,8,9,-1,1,0
23741,23743,23742,25,9,-1,1,0
23831,23833,23832,4,9,-1,1,0
23909,23911,23910,8,6,-1,1,0
24107,24109,24108,21,6,-1,1,0
24179,24181,24180,19,6,-1,1,0
24371,24373,24372,26,9,-1,1,0
24419,24421,24420,0,3,-1,1,0
24917,24919,24918,17,6,-1,1,0
24977,24979,24978,3,3,-1,1,0
25031,25033,25032,20,3,-1,1,0
25169,25171,25170,10,6,-1,1,0
25301,25303,25302,31,3,-1,1,0
25307,25309,25308,0,9,-1,1,0
25409,25411,25410,28,3,-1,1,0
25469,25471,25470,14,9,-1,1,0
25577,25579,25578,11,9,-1,1,0
25601,25603,25602,35,6,-1,1,0
25799,25801,25800,11,6,-1,1,0
25847,25849,25848,22,9,-1,1,0
25931,25933,25932,32,3,-1,1,0
