p,rev_p,dr_p,dr_revp,product_dr,product_in_col1,diff,diff_dr,p_mod37,revp_mod37,same_mod37,chi_p,col_p
153871,178351,7,7,4,True,24480,9,25,11,False,1,COL1
153887,788351,5,5,7,True,634464,9,4,29,False,-1,COL2
153913,319351,4,4,7,True,165438,9,30,4,False,1,COL1
153947,749351,2,2,4,True,595404,9,27,27,True,-1,COL2
154043,340451,8,8,1,True,186408,9,12,14,False,-1,COL2
154073,370451,2,2,4,True,216378,9,5,7,False,-1,COL2
154097,790451,8,8,1,True,636354,9,29,20,False,-1,COL2
154127,721451,2,2,4,True,567324,9,22,25,False,-1,COL2
154213,312451,7,7,4,True,158238,9,34,23,False,1,COL1
154229,922451,5,5,7,True,768222,9,13,4,False,-1,COL2
154243,342451,1,1,1,True,188208,9,27,16,False,1,COL1
154277,772451,8,8,1,True,618174,9,24,2,False,-1,COL2
154333,333451,1,1,1,True,179118,9,6,7,False,1,COL1
154423,324451,1,1,1,True,170028,9,22,35,False,1,COL1
154459,954451,1,1,1,True,799992,9,21,36,False,1,COL1
154487,784451,2,2,4,True,629964,9,12,14,False,-1,COL2
154543,345451,4,4,7,True,190908,9,31,19,False,1,COL1
154573,375451,7,7,4,True,220878,9,24,12,False,1,COL1
154589,985451,5,5,7,True,830862,9,3,30,False,-1,COL2
154619,916451,8,8,1,True,761832,9,33,35,False,-1,COL2
154681,186451,7,7,4,True,31770,9,21,8,False,1,COL1
154727,727451,8,8,1,True,572724,9,30,31,False,-1,COL2
154747,747451,1,1,1,True,592704,9,13,14,False,1,COL1
154769,967451,5,5,7,True,812682,9,35,12,False,-1,COL2
154897,798451,7,7,4,True,643554,9,15,28,False,1,COL1
154927,729451,1,1,1,True,574524,9,8,33,False,1,COL1
155009,900551,2,2,4,True,745542,9,16,8,False,-1,COL2
155153,351551,2,2,4,True,196398,9,12,14,False,-1,COL2
155191,191551,4,4,7,True,36360,9,13,2,False,1,COL1
155203,302551,7,7,4,True,147348,9,25,2,False,1,COL1
155303,303551,8,8,1,True,148248,9,14,3,False,-1,COL2
155327,723551,5,5,7,True,568224,9,1,16,False,-1,COL2
155453,354551,5,5,7,True,199098,9,16,17,False,-1,COL2
155509,905551,7,7,4,True,750042,9,35,13,False,1,COL1
155557,755551,1,1,1,True,599994,9,9,11,False,1,COL1
155569,965551,4,4,7,True,809982,9,21,36,False,1,COL1
155579,975551,5,5,7,True,819972,9,31,9,False,-1,COL2
155581,185551,7,7,4,True,29970,9,33,33,True,1,COL1
155599,995551,7,7,4,True,839952,9,14,29,False,1,COL1
155671,176551,7,7,4,True,20880,9,12,24,False,1,COL1
155699,996551,8,8,1,True,840852,9,3,30,False,-1,COL2
155717,717551,8,8,1,True,561834,9,21,10,False,-1,COL2
155777,777551,5,5,7,True,621774,9,7,33,False,-1,COL2
155783,387551,2,2,4,True,231768,9,13,13,True,-1,COL2
155797,797551,7,7,4,True,641754,9,27,16,False,1,COL1
155849,948551,5,5,7,True,792702,9,5,19,False,-1,COL2
155851,158551,7,7,4,True,2700,9,7,6,False,1,COL1
155863,368551,1,1,1,True,212688,9,19,31,False,1,COL1
156061,160651,1,1,1,True,4590,9,32,34,False,1,COL1
156217,712651,4,4,7,True,556434,9,3,31,False,1,COL1
156257,752651,8,8,1,True,596394,9,6,34,False,-1,COL2
156371,173651,5,5,7,True,17280,9,9,10,False,-1,COL2
156539,935651,2,2,4,True,779112,9,29,32,False,-1,COL2
156619,916651,1,1,1,True,760032,9,35,13,False,1,COL1
156671,176651,8,8,1,True,19980,9,13,13,True,-1,COL2
156677,776651,5,5,7,True,619974,9,19,21,False,-1,COL2
156683,386651,2,2,4,True,229968,9,25,1,False,-1,COL2
156703,307651,4,4,7,True,150948,9,8,33,False,1,COL1
156733,337651,7,7,4,True,180918,9,1,26,False,1,COL1
156749,947651,5,5,7,True,790902,9,17,7,False,-1,COL2
156781,187651,1,1,1,True,30870,9,12,24,False,1,COL1
156799,997651,1,1,1,True,840852,9,30,20,False,1,COL1
156823,328651,7,7,4,True,171828,9,17,17,True,1,COL1
156887,788651,8,8,1,True,631764,9,7,33,False,-1,COL2
156899,998651,2,2,4,True,841752,9,19,21,False,-1,COL2
156971,179651,2,2,4,True,22680,9,17,16,False,-1,COL2
156979,979651,1,1,1,True,822672,9,25,2,False,1,COL1
157007,700751,2,2,4,True,543744,9,16,8,False,-1,COL2
157019,910751,5,5,7,True,753732,9,28,33,False,-1,COL2
157061,160751,2,2,4,True,3690,9,33,23,False,-1,COL2
157081,180751,4,4,7,True,23670,9,16,6,False,1,COL1
157103,301751,8,8,1,True,144648,9,1,16,False,-1,COL2
157109,901751,5,5,7,True,744642,9,7,24,False,-1,COL2
157181,181751,5,5,7,True,24570,9,5,7,False,-1,COL2
157271,172751,5,5,7,True,15480,9,21,35,False,-1,COL2
157273,372751,7,7,4,True,215478,9,23,13,False,1,COL1
157349,943751,2,2,4,True,786402,9,25,29,False,-1,COL2
157363,363751,7,7,4,True,206388,9,2,4,False,1,COL1
157427,724751,8,8,1,True,567324,9,29,32,False,-1,COL2
157429,924751,1,1,1,True,767322,9,31,10,False,1,COL1
157433,334751,5,5,7,True,177318,9,35,12,False,-1,COL2
157457,754751,2,2,4,True,597294,9,22,25,False,-1,COL2
157483,384751,1,1,1,True,227268,9,11,25,False,1,COL1
157513,315751,4,4,7,True,158238,9,4,30,False,1,COL1
157523,325751,5,5,7,True,168228,9,14,3,False,-1,COL2
157627,726751,1,1,1,True,569124,9,7,34,False,1,COL1
157669,966751,7,7,4,True,809082,9,12,15,False,1,COL1
157733,337751,8,8,1,True,180018,9,2,15,False,-1,COL2
157739,937751,5,5,7,True,780012,9,8,23,False,-1,COL2
157769,967751,8,8,1,True,809982,9,1,16,False,-1,COL2
157793,397751,5,5,7,True,239958,9,25,1,False,-1,COL2
157799,997751,2,2,4,True,839952,9,31,9,False,-1,COL2
157813,318751,7,7,4,True,160938,9,8,33,False,1,COL1
157867,768751,7,7,4,True,610884,9,25,2,False,1,COL1
